x,y,z,a,b,c,d
220.0016125,250.0030457,10.86493286,0.999994971,-0.004369349,0.002313225,1.55909E-09
219.999984,249.9847949,11.65085675,0.999637612,0.027218655,-0.002425453,0.000259874
219.9315174,249.9637106,12.40490554,0.994124774,0.031845181,-0.103415084,7.62015E-05
219.860574,249.9418648,13.09485464,0.993265118,0.034084504,-0.11069298,8.57725E-05
219.7870941,249.919239,13.72705963,0.992321745,0.036380914,-0.118156997,9.55966E-05
219.7110222,249.8958165,14.30729325,0.99129369,0.038725544,-0.125779063,0.000106827
219.6323083,249.8715824,14.84081181,0.990181421,0.041107695,-0.133527312,0.000123335
219.5509088,249.8465255,15.3323779,0.988986532,0.043514986,-0.141369837,0.000154931
219.4667884,249.8206403,15.78630272,0.987712425,0.04593082,-0.149271568,0.000221644
219.3803877,249.7941007,16.20643151,0.986514141,0.048020344,-0.156362295,0.000523648
219.2912517,249.7667815,16.59630588,0.985120024,0.050318419,-0.164213204,0.000912198
219.1989016,249.7384154,16.95903685,0.983480986,0.053104804,-0.172903743,0.000594825
219.1039729,249.7090811,17.29709603,0.981985052,0.055744284,-0.180397227,-0.000356709
219.0065594,249.6788838,17.61310183,0.980490529,0.058159393,-0.187615336,-0.000824429
218.9041731,249.6473076,17.91258413,0.977997012,0.061406151,-0.199088419,-0.000108844
218.797656,249.6144568,18.19767859,0.975729846,0.064404526,-0.208875597,-0.000169598
218.6861933,249.5798659,18.47200672,0.973023943,0.06822572,-0.219842837,-0.000757663
218.5732856,249.5432952,18.73175485,0.971553785,0.072785818,-0.224709158,-0.005203293
218.4587213,249.5043734,18.97950767,0.969921816,0.078032896,-0.229667368,-0.010980504
218.342199,249.4624595,19.21796885,0.967991309,0.084482792,-0.234837618,-0.019229854
218.2235814,249.4176055,19.44926855,0.965946137,0.090755785,-0.239973851,-0.027210052
218.1027275,249.3697498,19.67553975,0.963748909,0.097048885,-0.245053284,-0.035781939
217.985803,249.3445841,19.85145581,0.96631394,0.052941879,-0.245871878,-0.050913214
217.8747488,249.3179418,19.95907091,0.965449778,0.058882994,-0.24533382,-0.06191024
217.7727078,249.2845529,20,0.967525652,0.0777712,-0.237630163,-0.032032175
217.6746814,249.2540681,20,0.9684364,0.073412886,-0.236020877,-0.026558842
217.5766239,249.2264878,20,0.968860377,0.06643443,-0.236142459,-0.028467808
217.4785653,249.1990263,20,0.968877526,0.066148645,-0.236147032,-0.02851746
217.3805056,249.1716864,20,0.968895027,0.065856584,-0.236151668,-0.028566249
217.2824449,249.1444707,20,0.968912895,0.065558015,-0.236156368,-0.02861409
217.184383,249.1173821,20,0.968931142,0.065252688,-0.23616113,-0.028660889
217.08632,249.0904234,20,0.968949784,0.064940344,-0.236165955,-0.028706544
216.9882559,249.0635977,20,0.968968836,0.064620709,-0.236170842,-0.028750947
216.8901906,249.0369082,20,0.968988313,0.064293492,-0.236175791,-0.028793978
216.7921242,249.010358,20,0.969008232,0.063958387,-0.236180801,-0.028835509
216.6940567,248.9839507,20,0.969028612,0.063615071,-0.23618587,-0.028875402
216.5959881,248.9576898,20,0.969049471,0.0632632,-0.236190998,-0.028913505
216.4979184,248.9315789,20,0.969070829,0.06290241,-0.236196183,-0.028949655
