x,y,z,a,b,c,d
218.8710387,349.9994905,12.62772378,0.999989469,-7.80751E-05,0.004067697,-0.000139015
218.6981254,350.2874758,17.00296397,1.000001214,-0.001105885,0.000105573,0.000138623
218.1508172,349.2234184,20.50910248,0.999989775,-0.002825746,0.000599781,-0.001724353
216.829389,347.637117,23.14225104,0.999985553,-0.004749641,0.003190904,-1.55706E-05
214.7472719,346.3135325,25.11378311,0.999985035,-0.002850356,0.005067626,-1.29184E-05
213.0807437,344.1338951,26.51143366,0.999985564,-0.00510881,0.002555451,-1.45856E-05
211.3339908,341.7469115,27.4712735,0.999988017,-0.00471001,0.00227621,-1.05752E-05
209.7796068,339.0608738,28.16904911,0.999989852,-0.004704189,0.001119901,-7.9174E-06
208.3039368,336.3007333,28.66941574,0.99999003,-0.003218392,0.000536737,-0.001779933
206.5705635,333.548039,29.01068113,0.999994139,-0.003431878,0.001554333,-0.000374923
204.8284524,330.7356507,29.30635368,0.99999881,-0.000965304,0.000417049,-0.000539846
202.2228499,328.5988616,29.46910642,0.999990476,0.000173784,0.003255594,-0.000310409
199.8035058,326.1860072,29.57025619,0.999996459,0.000213842,-0.000445406,6.48089E-05
197.1790886,323.9466318,29.65019389,0.999994902,-0.000353337,-0.001294873,0.003322178
194.4668684,321.726088,29.69658817,0.999997186,-0.000202658,-0.001719218,0.000162906
191.963464,319.1761646,29.72366263,1.00000317,0.00155708,-0.001443554,-0.000175266
190.0244044,316.1381267,29.75364882,0.999998899,-0.00102811,-0.000509113,-0.000345522
188.5959099,312.8452499,29.7814611,0.999991587,-0.003184492,-0.003135495,-0.000343893
187.2977129,309.4640689,29.79781583,0.999993093,-0.002839704,-0.002965307,-0.000261518
186.2853845,305.9842431,29.81173929,0.999992212,-0.002592331,-0.003457065,-0.000258124
184.7401707,302.6200847,29.80715842,1.00000185,0.000862873,0.000308134,-0.001405822
183.1382016,299.2420294,29.80424398,1.000001596,0.001094317,0.000173691,-0.000501306
181.7732976,295.7394732,29.8047958,1.000001626,0.000347279,0.000264713,-0.000190302
179.6243984,292.6573595,29.80783869,0.999999193,-0.000363043,-0.00130232,-0.000115584
176.9317903,290.1103901,29.81991792,0.999989047,0.001259172,0.002274297,-0.000614687
174.4920044,287.2346598,29.81691574,0.999999436,-0.000540701,-0.001454068,-0.000668244
172.2547757,284.1369099,29.80833367,1.000000903,0.000599147,-0.001125941,-1.42549E-05
169.6411156,281.371591,29.81090486,0.999998913,-0.000784052,-0.001353402,0.000607525
166.9904771,278.624095,29.81010771,0.999996252,-0.000956612,-0.001292111,0.000615332
164.7637109,275.4706115,29.80330451,1.000001276,0.000949617,0.000367564,-0.000125687
162.6540073,272.229549,29.80185462,1.000001851,0.000899437,0.000625282,-0.000496893
162.8741182,268.8431114,29.85723938,0.999965708,-0.001211469,-0.008317122,-1.85835E-05
164.1008257,266.0188186,29.93249656,0.999950139,0.000968255,-0.009852475,-1.67752E-05
165.2782884,262.9328813,29.99009248,0.999975464,-0.00014016,-0.007311821,-9.4084E-06
165.4775349,259.5942782,29.99450887,1.00000328,-0.001001564,-0.003206092,-0.001122524
166.2616957,256.1196281,29.96084066,0.999988137,-0.001472648,-0.004599645,1.33561E-16
166.7222842,252.5884008,29.98515034,1.000001481,0.000268475,0.000549792,-0.00442583
167.1779189,248.9973279,29.97759508,1.000002302,0.000546787,0.000779203,-0.001964124
168.5771551,245.6513303,29.98433023,0.999998883,-2.06761E-05,-0.003338282,3.46919E-06
170.4742923,242.6095233,29.98129776,0.999998646,0.000749913,-0.003686953,1.14672E-07
171.8786862,239.2585765,29.98844752,1.000001181,0.000133055,0.001395482,-0.000262529
173.4978644,235.9458407,29.95636751,0.999999862,-2.07694E-05,-0.000591329,-1.11861E-05
173.3036738,232.2889213,29.99451888,0.999991016,-0.001257397,0.004397558,-4.75214E-06
173.0450301,228.5902107,29.9656822,0.999990797,-0.00125601,0.004072167,6.50971E-17
171.913739,225.1889239,29.98535815,0.999985566,0.000172009,0.005695984,-7.0038E-06
170.0691657,222.285197,29.97761611,0.999981729,0.001752468,0.006499967,5.09576E-06
168.2127696,219.2535238,29.98683093,0.999999609,0.00063365,0.003467123,-1.33647E-05
166.7603472,215.9674985,29.96419194,0.999993712,-0.000148974,-0.001687248,-0.000540003
164.3727991,213.340678,29.99196629,0.99998625,0.002145558,0.005169558,-5.01295E-06
162.515072,210.1090684,29.95991522,0.999996848,-0.000494814,0.002455577,-2.71218E-16
160.931218,206.7442652,29.98736085,1.000001419,0.000853126,-0.000774994,-0.000100046
158.8871691,203.6761985,29.98182231,1.000001338,-0.000700401,-0.003337596,-0.000282624
157.0251043,200.3880043,29.98548104,0.999999103,0.000172892,-0.000429795,0.000463534
154.7945636,197.3592581,29.95782861,0.999999182,-0.000289643,-0.000822223,-0.000190791
152.6847245,194.2009604,29.99786833,1.000001378,2.58201E-05,-0.002095937,-1.72272E-05
150.8610983,190.7912025,29.95743916,0.999999493,-0.00100126,-0.000105828,-5.29481E-16
149.1617407,187.3356599,29.9979648,1.000001436,0.000904214,0.000542551,-0.000182508
